batch_size,learning_rate,num_points,val_acc,val_miou,val_loss
32,0.001,4096,0.4974061072466777,0.17261444478401522,1.4426627159118652
32,0.001,8192,0.535687925015573,0.21511209067348414,1.3337751984596253
32,0.0005,4096,0.5038081070909468,0.18201667286548479,1.403010869026184
32,0.0005,8192,0.5079852639638704,0.1988092592255687,1.3508925676345824
32,0.0001,4096,0.48955873001453487,0.17367692114993086,1.4426406502723694
32,0.0001,8192,0.4831482136368355,0.16241688717781186,1.4703473925590516
64,0.001,4096,0.5449697298068937,0.19577653315148502,1.3815859794616698
64,0.001,8192,0.5595163744549418,0.21778961377669612,1.4066084146499633
64,0.0005,4096,0.5524253465012459,0.21878447712860338,1.3701941967010498
64,0.0005,8192,0.4975229054194352,0.19558564456389832,1.3819759607315063
64,0.0001,4096,0.5062008474356312,0.16214030907786678,1.5023369312286377
64,0.0001,8192,0.5121238936617525,0.1715243107561722,1.5178371667861938
