batch_size,learning_rate,num_points,val_acc,val_miou,val_loss
16,0.001,2048,0.2893476815059267,0.1064389446048342,1.5437966708479256
16,0.001,4096,0.2980454543541218,0.10432026115394337,1.4653161363355045
16,0.0005,2048,0.2723483381600216,0.10867949609635603,1.5290484973068894
16,0.0005,4096,0.2975650655812231,0.12141256798715887,1.402497083976351
16,0.0001,2048,0.2753685260641164,0.11991482176812077,1.4478702411569397
16,0.0001,4096,0.3141163793103448,0.1216722901683293,1.5334080139110828
32,0.001,2048,0.3258619637324892,0.12863989273998364,1.450043612513049
32,0.001,4096,0.2604183328562769,0.11967874114701463,1.3624411492512143
32,0.0005,2048,0.257373152108028,0.1183153326802504,1.2955736620672818
32,0.0005,4096,0.2424126986799569,0.11228455017518064,1.3633001713917172
32,0.0001,2048,0.33517876986799566,0.12320990808041235,1.4125249591366997
32,0.0001,4096,0.26322673929148704,0.10246591889441536,1.4101220328232338
